time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi10	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.0018130339436653578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.010114736623278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.006348153497253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.001017333301892	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	0	0	0	0	0
20.00030378416442	0	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4187	0	0	0	0	0
25.000654950325924	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6907	0	0	0	0	0
30.000116413024735	0	8	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8542	0	0	0	0	0
35.00049625753688	0	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11895	0	0	0	0	0
40.00041391967955	0	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14947	0	0	0	0	0
45.000620068738314	0	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17523	0	0	0	0	0
50.000124653408555	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20315	0	0	0	0	0
55.000436038205635	0	7	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23213	0	0	0	0	0
60.00031997402128	0	6	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25975	0	0	0	0	0
65.00023109217862	0	3	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28647	0	0	0	0	0
70.0000989500269	0	5	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32011	0	0	0	0	0
75.00000874665609	0	4	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34636	0	0	0	0	0
80.00003395521175	0	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37773	83	0	0	0	0
85.00023200038966	0	1	6	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39223	277	0	0	0	0
90.00006180106698	0	4	7	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42369	419	0	0	0	0
95.00017689889138	0	3	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44652	724	0	0	0	0
100.00007688716131	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46569	809	0	0	0	0
105.00004965277138	0	6	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47407	1229	0	0	0	0
110.00005773391833	0	6	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49073	1550	0	0	0	0
115.00012170817975	0	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50924	1925	0	0	0	0
120.00000958549623	0	4	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52437	2680	0	0	0	0
125.00007957650877	0	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55095	3661	0	0	0	0
130.00002253231273	2	4	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56482	4656	0	0	779	0
135.00000072375462	10	3	4	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56336	6054	0	0	2571	0
