time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi10	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.008418602262805063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.00006269094772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.007509564355809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.006143168201733	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
20.00024454905093	0	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1435	0	0	0	0	0
25.000107752243483	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2957	0	0	0	0	0
30.001174448613238	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4100	0	0	0	0	0
35.00156291394256	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5756	0	0	0	0	0
40.00056306282747	0	5	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8653	0	0	0	0	0
45.00078604922803	0	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10929	0	0	0	0	0
50.000131652769355	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12385	0	0	0	0	0
55.000022645422774	0	5	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14406	0	0	0	0	0
60.00006955108553	0	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16592	0	0	0	0	0
65.00002251518679	0	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19007	0	0	0	0	0
70.0001092480224	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20717	0	0	0	0	0
75.00015905227141	0	5	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22796	0	0	0	0	0
80.0003326664453	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24647	0	0	0	0	0
85.00033872217203	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26195	0	0	0	0	0
90.00012242273698	0	2	6	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28729	0	0	0	0	0
95.00009666279662	0	5	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31669	0	0	0	0	0
100.00026757327697	0	2	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33766	252	0	0	0	0
105.00053390891104	0	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36149	598	0	0	0	0
110.00003393838621	0	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38143	852	0	0	0	0
115.00012905225714	0	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39096	984	0	0	0	0
120.00001540121204	0	4	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41617	1339	0	0	0	0
125.00008082460369	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42968	1531	0	0	0	0
130.0000600251972	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44170	2266	0	0	0	0
135.00050968233836	1	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45007	2716	0	0	291	0
140.0000829942414	2	1	3	3	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45902	3314	0	0	1170	0
145.00001278460493	7	1	2	1	1	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	45341	4395	0	0	3834	0
150.00000056891875	6	1	3	1	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	45878	4654	0	0	5763	0
155.0000426494335	2	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	45221	5027	0	0	5978	0
160.00005932007272	4	1	2	4	2	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	46386	7736	0	0	8458	0
165.00000818701164	0	0	2	2	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	44426	9738	0	0	9988	0
170.0000344047622	1	1	0	1	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	43952	10531	0	0	13416	0
175.0000366577606	2	0	1	3	1	1	1	2	1	3	4	1	0	0	0	0	0	0	0	0	0	0	44703	12162	0	0	21989	0
180.0000371059906	4	2	0	1	0	0	3	0	2	4	6	1	0	0	0	0	0	0	0	0	0	0	42600	12907	0	0	31452	0
185.0000483917238	3	8	1	1	2	0	1	1	1	2	3	2	0	0	0	0	0	0	0	0	0	0	40674	13975	0	0	38006	0
190.00001924582804	5	3	0	3	2	1	5	4	1	3	1	2	6	0	0	0	0	0	0	0	0	0	37876	15689	0	0	52411	0
195.00001757101018	5	1	2	2	0	0	1	1	0	2	3	5	4	3	1	0	0	0	0	0	0	0	34836	16659	0	0	69507	0
200.00001501909628	2	0	2	2	2	0	0	1	3	0	4	1	5	6	2	4	0	0	0	0	0	0	33680	18554	0	0	77696	0
205.00001375653488	4	0	1	2	2	1	1	2	1	3	6	4	3	6	10	3	0	0	0	0	0	0	33108	21064	0	0	117848	0
210.0000090585372	6	0	0	1	1	0	3	3	3	6	6	6	3	5	5	5	0	0	0	0	0	0	31090	20710	0	0	178032	184
215.00000252924724	3	2	0	3	0	0	0	1	1	3	0	6	1	5	4	0	0	0	0	0	0	0	25620	21253	0	0	193764	0
220.0000012356552	1	2	1	1	1	1	1	2	1	1	3	7	0	2	3	2	3	0	0	0	0	0	23232	21533	0	0	212553	531
225.0000142592664	8	0	1	3	0	0	1	3	3	3	5	4	2	6	3	4	5	0	0	0	0	0	21111	20773	0	0	251971	1733
230.00000969614797	3	3	3	1	0	0	0	1	5	3	1	4	2	8	4	3	9	0	0	0	0	0	18505	21495	0	0	279283	4826
235.00000054728534	1	2	1	2	0	2	1	3	1	2	5	5	2	2	1	4	6	6	1	0	0	0	14729	22620	0	0	326718	7710
240.00000814521653	3	0	1	1	1	0	2	1	4	2	2	4	2	1	0	3	5	7	7	0	0	0	13079	24641	0	0	347151	9164
245.00000599639432	3	1	1	1	1	1	1	1	5	1	6	1	2	2	0	4	2	3	10	0	0	0	8894	26147	0	0	326086	7894
250.0000002942941	3	0	1	1	0	0	1	1	2	6	1	5	7	6	0	4	3	7	6	0	0	0	12257	28240	0	0	335913	11653
255.0000020694529	4	3	1	0	1	2	1	1	1	1	0	1	5	3	2	4	2	10	2	0	0	0	14181	29186	0	0	340351	14542
260.0000011855097	0	3	1	2	3	0	1	1	0	0	0	2	3	0	3	0	5	4	6	0	0	0	14433	30105	0	0	316686	14269
265.0000040257077	7	2	0	1	1	2	0	2	1	2	2	7	3	4	1	1	7	4	2	9	0	0	13577	32388	0	0	288132	14706
270.00000139988583	3	2	1	2	1	2	0	3	1	2	2	4	2	3	1	4	4	4	10	7	0	0	13527	33638	0	0	307695	22270
275.00001082310797	2	0	0	1	1	0	0	2	0	3	1	1	3	2	6	4	7	8	4	6	0	0	13469	33952	0	0	324824	24167
280.00001127442863	4	1	4	0	2	3	2	1	0	2	2	8	1	1	4	0	8	5	7	6	0	0	11597	35748	0	0	436612	35635
285.0000138592582	1	1	1	1	1	2	4	1	4	2	2	0	0	1	0	1	4	4	4	6	0	0	10578	37117	0	0	514966	39298
290.00000238014576	0	1	1	1	2	0	1	2	1	0	1	0	3	2	3	1	8	3	2	2	0	0	6925	37866	0	0	454809	32697
295.0000066105899	0	0	0	2	0	2	2	2	2	2	2	0	3	1	0	1	3	4	0	5	7	0	3801	38282	0	0	383514	33306
300.0000052542449	1	1	0	2	4	0	0	2	2	0	1	1	2	0	5	3	6	2	4	5	4	0	2321	36739	0	0	328531	37676
305.00000153850107	2	0	1	3	2	0	1	0	1	0	2	1	2	5	3	7	3	7	8	4	1	0	2063	36626	0	0	362236	42513
310.0000097735094	1	1	2	3	2	2	0	0	2	0	1	3	1	5	1	1	1	3	4	5	5	0	1538	34807	0	0	401224	48244
315.00000368696925	1	3	0	1	1	2	0	1	0	0	0	1	3	0	1	1	2	7	0	3	10	3	616	37788	0	0	431334	49871
320.00000065628365	1	3	2	1	1	0	0	0	0	1	1	1	1	0	3	2	1	8	9	4	4	10	395	38556	0	0	456467	54193
