time	phi0L	A1	A2	A3	B	C	phi1.1A	phi1.1B	phi1.3	phi1.5	phi1.6	phi2.5	phi3.8	phi4c	phi4.3	phi4.7	phi6.5	phi9	phi10	phi13	phi17	phiOR	coli Pol	coli Pol-P	coli Pol-2.0	coli Pol-P-2.0	gp1	gp1-3.5
0.005784676383381445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.004500395943774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.017049668989419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.00056781013569	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0
20.000482055895397	0	7	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3245	0	0	0	0	0
25.001213038714692	0	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5667	0	0	0	0	0
30.000099533788244	0	4	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8680	0	0	0	0	0
35.000594134393594	0	9	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10851	0	0	0	0	0
40.000090904503836	0	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13364	0	0	0	0	0
45.00052464850907	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15579	0	0	0	0	0
50.00000857730753	0	5	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17726	0	0	0	0	0
55.00008151103785	0	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20948	0	0	0	0	0
60.00010688695898	0	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23624	0	0	0	0	0
65.00017149690767	0	3	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26224	0	0	0	0	0
70.0001184367447	0	2	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28699	0	0	0	0	0
75.00016772736028	0	6	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31605	0	0	0	0	0
80.00000811325835	0	3	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33849	0	0	0	0	0
85.0001338360949	0	9	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37357	0	0	0	0	0
90.00004429733059	0	2	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40107	348	0	0	0	0
95.00002268565176	0	7	6	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	797	0	0	0	0
100.00005785563476	0	2	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46956	973	0	0	0	0
105.00002188721326	0	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48578	1798	0	0	0	0
110.00007386802987	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50399	2156	0	0	0	0
115.00008869277002	0	3	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52554	2277	0	0	0	0
120.0000634950804	0	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52093	2895	0	0	0	0
125.00006523519258	0	5	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55057	4445	0	0	0	0
130.000001820156	2	3	1	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54537	5568	0	0	503	0
135.00010941059824	2	4	5	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53917	7244	0	0	1575	0
140.00003445599677	8	2	3	2	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53449	9099	0	0	4378	0
145.00006507208946	4	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54622	9579	0	0	4822	0
150.00003133306768	8	4	4	4	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	55199	11812	0	0	8432	0
155.0000086226606	8	5	3	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	56013	14614	0	0	10771	0
160.00001922249646	3	1	3	0	0	1	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	55164	15420	0	0	13510	0
165.00003731345436	2	4	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55247	15828	0	0	14432	0
